TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE,CREATED,LAST_ALTERED
INFORMATION_SCHEMA,APPLICATION_CONFIGURATIONS,VIEW,,
INFORMATION_SCHEMA,APPLICATION_SPECIFICATIONS,VIEW,,
INFORMATION_SCHEMA,INFORMATION_SCHEMA_CATALOG_NAME,VIEW,,
INFORMATION_SCHEMA,LOAD_HISTORY,VIEW,,
INFORMATION_SCHEMA,REPLICATION_DATABASES,VIEW,,
INFORMATION_SCHEMA,REPLICATION_GROUPS,VIEW,,
S_ANALYTICS,BRASS_TACKS_TABLEAU,BASE TABLE,2025-05-19 14:41:31.244000+00:00,2026-06-19 13:19:49.914000+00:00
S_ANALYTICS,BRASS_TACKS_TABLEAU_WD_PROD,BASE TABLE,2026-06-19 13:48:44.228000+00:00,2026-06-19 13:48:46.519000+00:00
S_ANALYTICS,EMPLOYEE_BADGING,VIEW,2024-10-02 17:54:29.657000+00:00,2024-10-02 17:54:30.386000+00:00
S_ANALYTICS,EMPLOYEE_TIMEZONE,VIEW,2026-03-10 15:30:14.654000+00:00,2026-03-10 15:30:15.333000+00:00
S_ANALYTICS,FC_EMPLOYEE_MONTHLY_REVIEW,VIEW,2024-12-19 18:26:46.099000+00:00,2024-12-19 18:26:46.605000+00:00
S_ANALYTICS,MANAGER_HIERARCHY_DAY_END,BASE TABLE,2025-01-08 20:05:34.244000+00:00,2026-06-19 21:17:33.497000+00:00
S_ANALYTICS,MANAGER_HIERARCHY_PERIOD_END,BASE TABLE,2025-01-08 20:15:36.354000+00:00,2026-06-19 21:17:34.531000+00:00
S_ANALYTICS,MANAGER_HIERARCHY_WEEK_END,BASE TABLE,2025-01-08 20:12:39.657000+00:00,2026-06-19 21:17:33.838000+00:00
S_ANALYTICS,ORG_SLT_HIERARCHY,VIEW,2024-02-15 22:15:01.781000+00:00,2024-02-15 22:15:02.256000+00:00
S_ANALYTICS,ROSTER_DAY_END,BASE TABLE,2026-05-04 13:25:15.368000+00:00,2026-06-19 21:17:33.289000+00:00
S_ANALYTICS,ROSTER_PERIOD_END,VIEW,2026-05-04 13:26:38.725000+00:00,2026-05-04 13:26:40.053000+00:00
S_ANALYTICS,ROSTER_WEEK_END,VIEW,2026-05-04 13:26:27.621000+00:00,2026-05-04 13:26:29.237000+00:00
S_ANALYTICS,WORKDAY_TRENDED_MANAGER_HIERARCHY,BASE TABLE,2026-06-19 13:47:57.360000+00:00,2026-06-19 13:47:59.649000+00:00
S_BRIDGE,DOWNLOADS,BASE TABLE,2022-07-06 21:16:40.872000+00:00,2025-11-03 18:35:22.938000+00:00
S_BRIDGE,NOTIFICATION_PROFILES,BASE TABLE,2022-07-07 20:39:10.443000+00:00,2025-11-03 18:35:24.925000+00:00
S_BRIDGE,SURVEYS_DISTRIBUTIONS,BASE TABLE,2022-07-06 21:16:57.443000+00:00,2025-11-03 18:35:31.713000+00:00
S_BRIDGE,SURVEYS_QUESTIONS,BASE TABLE,2022-07-06 21:16:57.771000+00:00,2025-11-03 18:35:45.986000+00:00
S_BRIDGE,SURVEYS_RECIPIENTS,BASE TABLE,2022-07-06 21:16:58.585000+00:00,2025-11-03 18:35:23.586000+00:00
S_BRIDGE,SURVEYS_RECIPIENT_GROUPS,BASE TABLE,2022-07-06 21:16:58.248000+00:00,2025-11-03 18:35:32.010000+00:00
S_BRIDGE,SURVEYS_RECIPIENT_GROUP_MEMBERS,BASE TABLE,2022-07-06 21:16:58+00:00,2025-11-03 18:35:30.373000+00:00
S_BRIDGE,SURVEYS_RESPONSES,BASE TABLE,2022-07-06 21:16:58.875000+00:00,2025-11-03 18:35:55.008000+00:00
S_BRIDGE,SURVEYS_SUBMISSIONS,BASE TABLE,2022-07-06 21:16:59.100000+00:00,2025-11-03 18:35:22.077000+00:00
S_BRIDGE,SURVEYS_SURVEYS,BASE TABLE,2022-07-06 21:16:59.382000+00:00,2025-11-03 18:35:43.799000+00:00
S_CORNERSTONE,CAPABILITYCATEGORY,BASE TABLE,2026-01-21 12:58:36.127000+00:00,2026-06-19 11:31:05.064000+00:00
S_CORNERSTONE,CAPABILITYCATEGORYMAP,BASE TABLE,2026-01-21 12:58:36.774000+00:00,2026-06-19 11:31:16.097000+00:00
S_CORNERSTONE,CAPABILITYCATEGORYMAP_STAGE,BASE TABLE,2026-01-21 12:52:20.367000+00:00,2026-06-19 11:31:15.950000+00:00
S_CORNERSTONE,CAPABILITYCATEGORY_LOCAL,BASE TABLE,2026-02-09 16:47:09.928000+00:00,2026-06-19 11:51:24.053000+00:00
S_CORNERSTONE,CAPABILITYCATEGORY_LOCAL_STAGE,BASE TABLE,2026-02-09 16:52:00.016000+00:00,2026-06-19 11:51:23.999000+00:00
S_CORNERSTONE,CAPABILITYCATEGORY_STAGE,BASE TABLE,2026-01-21 12:52:19.546000+00:00,2026-06-19 11:31:04.993000+00:00
S_CORNERSTONE,CATEGORYSTATUS,BASE TABLE,2026-01-21 12:58:41.612000+00:00,2026-06-19 11:35:44.785000+00:00
S_CORNERSTONE,CATEGORYSTATUS_STAGE,BASE TABLE,2026-01-21 12:52:26.248000+00:00,2026-06-19 11:35:44.729000+00:00
S_CORNERSTONE,CERTIFICATION_CATEGORY_LOCAL_CORE,BASE TABLE,2026-02-09 16:47:11.746000+00:00,2026-06-19 11:51:43.358000+00:00
S_CORNERSTONE,CERTIFICATION_CATEGORY_LOCAL_CORE_STAGE,BASE TABLE,2026-02-09 16:52:01.008000+00:00,2026-06-19 11:51:43.304000+00:00
S_CORNERSTONE,CERTIFICATION_CORE,BASE TABLE,2026-01-21 12:58:42.238000+00:00,2026-06-19 11:35:54.381000+00:00
S_CORNERSTONE,CERTIFICATION_CORE_STAGE,BASE TABLE,2026-01-21 12:52:26.754000+00:00,2026-06-19 11:35:54.325000+00:00
S_CORNERSTONE,CERTIFICATION_FAMILY_LOCAL_CORE,BASE TABLE,2026-02-09 16:47:12.201000+00:00,2026-06-19 11:51:52.795000+00:00
S_CORNERSTONE,CERTIFICATION_FAMILY_LOCAL_CORE_STAGE,BASE TABLE,2026-02-09 16:52:01.371000+00:00,2026-06-19 11:51:52.729000+00:00
S_CORNERSTONE,CERTIFICATION_LOCAL_CORE,BASE TABLE,2026-02-09 16:47:12.880000+00:00,2026-06-19 11:52:02.249000+00:00
S_CORNERSTONE,CERTIFICATION_LOCAL_CORE_STAGE,BASE TABLE,2026-02-09 16:52:01.885000+00:00,2026-06-19 11:52:02.199000+00:00
S_CORNERSTONE,QNA_QUESTION_CATEGORY_CORE,BASE TABLE,2026-01-21 12:58:51.805000+00:00,2026-06-19 11:38:26.393000+00:00
S_CORNERSTONE,QNA_QUESTION_CATEGORY_CORE_STAGE,BASE TABLE,2026-01-21 12:52:36.390000+00:00,2026-06-19 11:38:26.343000+00:00
S_CORNERSTONE,QNA_QUESTION_CATEGORY_LOCAL_CORE,BASE TABLE,2026-02-09 16:47:18.596000+00:00,2026-06-19 11:53:28.893000+00:00
S_CORNERSTONE,QNA_QUESTION_CATEGORY_LOCAL_CORE_STAGE,BASE TABLE,2026-02-09 16:52:07.747000+00:00,2026-06-19 11:53:28.846000+00:00
S_CORNERSTONE,TRAINING_REQUIREMENT_TAG_CATEGORY_CORE,BASE TABLE,2026-01-21 12:59:22.582000+00:00,2026-06-19 11:46:20.465000+00:00
S_CORNERSTONE,TRAINING_REQUIREMENT_TAG_CATEGORY_CORE_STAGE,BASE TABLE,2026-01-21 12:53:03.993000+00:00,2026-06-19 11:46:20.401000+00:00
S_CORNERSTONE,TRAINING_REQUIREMENT_TAG_CATEGORY_LOCAL_CORE,BASE TABLE,2026-02-09 16:47:25.631000+00:00,2026-06-19 11:55:33.410000+00:00
S_CORNERSTONE,TRAINING_REQUIREMENT_TAG_CATEGORY_LOCAL_CORE_STAGE,BASE TABLE,2026-02-09 16:52:14.318000+00:00,2026-06-19 11:55:33.323000+00:00
S_CORNERSTONE,USER_CATEGORY_LOCAL_CORE,BASE TABLE,2026-02-09 16:47:30.659000+00:00,2026-06-19 11:56:47.841000+00:00
S_CORNERSTONE,USER_CATEGORY_LOCAL_CORE_STAGE,BASE TABLE,2026-02-09 16:52:18.892000+00:00,2026-06-19 11:56:47.771000+00:00
S_CORNERSTONE,USER_SUB_CATEGORY_CORE,BASE TABLE,2026-01-21 12:59:31.745000+00:00,2026-01-21 12:59:32.045000+00:00
S_CORNERSTONE,USER_SUB_CATEGORY_CORE_STAGE,BASE TABLE,2026-01-21 12:53:12.730000+00:00,2026-06-19 11:49:43.059000+00:00
S_CORNERSTONE,USER_SUB_CATEGORY_LOCAL_CORE,BASE TABLE,2026-02-09 16:47:34.376000+00:00,2026-02-09 16:47:34.787000+00:00
S_CORNERSTONE,USER_SUB_CATEGORY_LOCAL_CORE_STAGE,BASE TABLE,2026-02-09 16:52:22.594000+00:00,2026-06-19 11:57:52.464000+00:00
S_CURATED,ALL_APPLICATION_STAGES,VIEW,2022-09-06 19:56:23.955000+00:00,2022-09-06 19:56:24.160000+00:00
S_CURATED,APPLICATIONS,VIEW,2022-09-06 19:57:04.082000+00:00,2022-09-06 19:57:04.352000+00:00
S_CURATED,APPLICATIONS_JOBS_MAPPING,VIEW,2022-09-06 19:57:14.181000+00:00,2022-09-06 19:57:14.323000+00:00
S_CURATED,APPLICATION_QUESTION_ANSWERS,VIEW,2022-09-06 19:57:24.880000+00:00,2022-09-06 19:57:25.040000+00:00
S_CURATED,CANDIDATES,VIEW,2025-01-16 21:00:16.579000+00:00,2025-01-16 21:00:17.863000+00:00
S_CURATED,CANDIDATE_SURVEYS,VIEW,2022-09-06 19:58:58.576000+00:00,2022-09-06 19:58:58.788000+00:00
S_CURATED,CURRENT_EMPLOYEES,VIEW,2026-05-20 18:52:07.186000+00:00,2026-05-20 18:52:07.948000+00:00
S_CURATED,EMPLOYEE_JOB_HISTORY,VIEW,2025-02-07 17:10:51.645000+00:00,2025-02-07 17:10:53.281000+00:00
S_CURATED,EMPLOYEE_JOB_HISTORY_NON_TRENDED,VIEW,2023-12-13 18:25:00.824000+00:00,2023-12-13 18:25:01.368000+00:00
S_CURATED,FETCHING_FEEDBACK_BY_BUSINESS_UNIT,VIEW,2024-04-08 16:41:26.902000+00:00,2024-04-08 16:41:27.187000+00:00
S_CURATED,FETCHING_FEEDBACK_BY_FF_BUSINESS_UNIT,VIEW,2023-11-09 20:26:07.721000+00:00,2023-11-09 20:26:07.981000+00:00
S_CURATED,FETCHING_FEEDBACK_BY_LOCATION,VIEW,2024-04-08 16:41:39.704000+00:00,2024-04-08 16:41:40.017000+00:00
S_CURATED,FETCHING_FEEDBACK_BY_MANAGER,VIEW,2024-04-08 16:41:40.284000+00:00,2024-04-08 16:41:40.635000+00:00
S_CURATED,HIRING_TEAM,VIEW,2022-09-06 20:00:01.827000+00:00,2022-09-06 20:00:01.995000+00:00
S_CURATED,JOBS_OFFICES,VIEW,2024-11-13 22:48:39.974000+00:00,2024-11-13 22:48:40.583000+00:00
S_CURATED,JOB_POSTS,VIEW,2025-05-20 16:18:08.933000+00:00,2025-05-20 16:18:09.612000+00:00
S_CURATED,JOURNAL_LOG,VIEW,2023-10-16 18:31:24.422000+00:00,2023-10-16 18:31:24.638000+00:00
S_CURATED,MANAGER_HISTORY_BY_DAY,VIEW,2025-08-26 21:43:26.995000+00:00,2025-08-26 21:43:28.260000+00:00
S_CURATED,MBR,BASE TABLE,2022-05-17 17:59:30.522000+00:00,2025-11-03 18:36:11.312000+00:00
S_CURATED,MBR_HISTORY,BASE TABLE,2022-07-20 23:12:27.054000+00:00,2025-11-03 18:36:10.638000+00:00
S_CURATED,MBR_STATIC,BASE TABLE,2022-04-28 20:57:32.738000+00:00,2025-11-03 18:36:10.991000+00:00
S_CURATED,OFFERS,VIEW,2022-09-06 20:01:04.339000+00:00,2022-09-06 20:01:04.566000+00:00
S_CURATED,OPENINGS,VIEW,2025-01-06 17:52:51.225000+00:00,2025-01-06 17:52:52.396000+00:00
S_CURATED,PERSONNEL,VIEW,2023-10-16 18:31:24.850000+00:00,2023-10-16 18:31:25.006000+00:00
S_CURATED,PERSONNELUDF,VIEW,2023-10-16 18:31:25.292000+00:00,2023-10-16 18:31:25.436000+00:00
S_CURATED,PROMOTIONS,VIEW,2022-09-06 20:02:23.487000+00:00,2022-09-06 20:02:23.639000+00:00
S_CURATED,REQUISITIONS,VIEW,2025-01-06 17:54:49.567000+00:00,2025-01-06 17:54:51.427000+00:00
S_CURATED,ROSTER_PERIOD_END,VIEW,2024-06-05 17:47:00.887000+00:00,2024-06-05 17:47:01.218000+00:00
S_CURATED,ROSTER_WEEK_END,VIEW,2024-06-05 17:47:05.985000+00:00,2024-06-05 17:47:07.505000+00:00
S_CURATED,SCORECARDS,VIEW,2022-09-06 20:01:24.325000+00:00,2022-09-06 20:01:24.548000+00:00
S_CURATED,STAGE_SNAPSHOTS,VIEW,2022-09-06 20:01:32.104000+00:00,2022-09-06 20:01:32.342000+00:00
S_CURATED,STOCK_PRICES,VIEW,2024-07-15 18:13:53.267000+00:00,2024-07-22 15:08:12.516000+00:00
S_CURATED,TERMINATED_EMPLOYEES,VIEW,2023-11-06 19:50:10.303000+00:00,2023-11-06 19:50:10.576000+00:00
S_CURATED,USERS,VIEW,2022-09-06 20:01:37.376000+00:00,2022-09-06 20:01:37.617000+00:00
S_CURATED,USER_CANDIDATE_MAPPING,VIEW,2022-09-06 20:01:44.751000+00:00,2022-09-06 20:01:45.113000+00:00
S_CURATED,V_ACTIVE_CANDIDATE_PIPELINE,VIEW,2025-01-16 21:00:12.203000+00:00,2025-01-16 21:00:16.296000+00:00
S_CURATED,V_ARBRITRATION_STATUS,VIEW,2022-05-03 18:40:32.090000+00:00,2022-05-03 18:40:32.781000+00:00
S_CURATED,V_ARBRITRATION_STATUS_V2,VIEW,2024-11-13 22:50:07.253000+00:00,2024-11-13 22:50:08.676000+00:00
S_CURATED,V_BT_ACCEPTED_OFFERS,VIEW,2025-02-07 17:10:08.974000+00:00,2025-02-07 17:10:10.260000+00:00
S_CURATED,V_BT_BUDGET_AND_TARGET,VIEW,2024-05-30 15:45:57.619000+00:00,2024-05-30 15:45:58.093000+00:00
S_CURATED,V_BT_FINANCE,VIEW,2025-02-07 17:11:07.645000+00:00,2025-02-07 17:11:09.649000+00:00
S_CURATED,V_BT_OPEN_POSITIONS,VIEW,2025-02-07 17:10:10.778000+00:00,2025-02-07 17:10:11.770000+00:00
S_CURATED,V_COMMON_DATE,VIEW,2021-11-09 17:12:53.475000+00:00,2021-11-09 17:12:53.633000+00:00
S_CURATED,V_DEPARTMENT,VIEW,2024-07-22 15:17:06.502000+00:00,2024-07-22 15:17:06.749000+00:00
S_CURATED,V_EMPLOYMENT_DATES_ARRAY_PERIOD,VIEW,2024-06-05 17:47:14.522000+00:00,2024-06-05 17:47:14.916000+00:00
S_CURATED,V_EMPLOYMENT_DATES_ARRAY_WEEK,VIEW,2024-06-05 17:47:18.928000+00:00,2024-06-05 17:47:19.495000+00:00
S_CURATED,V_FCSUMMARY_ATTRITION,VIEW,2025-02-07 17:10:53.640000+00:00,2025-02-07 17:10:55.147000+00:00
S_CURATED,V_GET_ALL_APP_STAGES,VIEW,2021-11-18 06:58:15.726000+00:00,2021-11-18 06:58:15.878000+00:00
S_CURATED,V_HIRING_MANAGER,VIEW,2025-02-19 15:59:27.710000+00:00,2025-02-19 15:59:28.487000+00:00
S_CURATED,V_HRBP_ATTRITION,VIEW,2025-02-07 17:10:12.624000+00:00,2025-02-07 17:10:14.002000+00:00
S_CURATED,V_HRBP_ATTRITION_NEW,VIEW,2025-02-07 17:10:14.444000+00:00,2025-02-07 17:10:15.867000+00:00
S_CURATED,V_HRBP_HEADCOUNT_SUMMARY,VIEW,2025-02-07 17:10:16.465000+00:00,2025-02-07 17:10:17.644000+00:00
S_CURATED,V_HRBP_HIRING_TRENDS,VIEW,2025-02-07 17:10:55.540000+00:00,2025-02-07 17:10:57.721000+00:00
S_CURATED,V_HRBP_HIRING_TRENDS_UNIFIED,VIEW,2026-01-07 16:31:39.928000+00:00,2026-01-07 16:31:41.337000+00:00
S_CURATED,V_HRBP_HIRING_TRENDS_V2,VIEW,2025-02-07 17:10:58.139000+00:00,2025-02-07 17:11:00.695000+00:00
S_CURATED,V_HRBP_SPANSNLAYERS,VIEW,2025-02-07 17:10:18.368000+00:00,2025-02-07 17:10:20.663000+00:00
S_CURATED,V_HRBP_SPANSNLAYERS_NEW,VIEW,2025-02-07 17:10:21.097000+00:00,2025-02-07 17:10:23.572000+00:00
S_CURATED,V_HRBP_SPANSNLAYERS_NEW_V2,VIEW,2025-02-07 17:10:24.050000+00:00,2025-02-07 17:10:26.431000+00:00
S_CURATED,V_HRBP_SPANSNLAYERS_UNIFIED,VIEW,2026-01-07 16:31:54.871000+00:00,2026-01-07 16:31:56.095000+00:00
S_CURATED,V_HRBP_SPANSNLAYERS_V2,VIEW,2025-02-07 17:10:26.893000+00:00,2025-02-07 17:10:28.823000+00:00
S_CURATED,V_HYPERION,VIEW,2021-11-10 21:54:57.144000+00:00,2021-11-10 21:54:57.669000+00:00
S_CURATED,V_MBR,VIEW,2025-02-07 17:10:29.286000+00:00,2025-02-07 17:10:31.806000+00:00
S_CURATED,V_MBR_V2,VIEW,2025-02-07 17:10:32.255000+00:00,2025-02-07 17:10:35.452000+00:00
S_CURATED,V_STERLING_DATA_AA,VIEW,2022-03-18 01:29:04.419000+00:00,2022-03-18 01:29:04.676000+00:00
S_CURATED,V_VIKING_FUNNEL,VIEW,2025-01-16 21:00:18.199000+00:00,2025-01-16 21:00:23.181000+00:00
S_CURATED,V_VIKING_FUNNEL_V2,VIEW,2025-01-16 21:00:23.483000+00:00,2025-01-16 21:00:27.158000+00:00
S_CURATED,V_VIKING_HIRING_TRENDS,VIEW,2025-02-07 17:11:01.098000+00:00,2025-02-07 17:11:03.696000+00:00
S_CURATED,V_VIKING_HIRING_TRENDS_V2,VIEW,2025-02-07 17:11:04.156000+00:00,2025-02-07 17:11:07.092000+00:00
S_CURATED,V_VIKING_SUMMARY,VIEW,2025-02-07 17:10:35.884000+00:00,2025-02-07 17:10:37.128000+00:00
S_CURATED,V_WBR_OFFERS_RESOLVED,VIEW,2025-01-16 21:00:27.483000+00:00,2025-01-16 21:00:29.803000+00:00
S_CURATED,V_WBR_OPENVSACCEPTED,VIEW,2022-02-10 16:30:40.560000+00:00,2022-02-10 16:30:41.069000+00:00
S_CURATED,V_WBR_PROGRESSVSPLAN,VIEW,2023-01-31 18:27:56.602000+00:00,2023-01-31 18:27:57.272000+00:00
S_CURATED,V_WBR_REQUISITION,VIEW,2024-11-13 22:52:58.151000+00:00,2024-11-13 22:52:58.851000+00:00
S_CURATED,V_WBR_WOW_ACTIVITY,VIEW,2022-02-18 19:19:35.197000+00:00,2022-02-18 19:19:35.647000+00:00
S_CURATED,V_WBR_WOW_ACTIVITY_V2,VIEW,2024-11-13 22:50:23.010000+00:00,2024-11-13 22:50:25.248000+00:00
S_CURATED,WORKER_JOB_HISTORY,VIEW,2025-02-07 17:11:10.024000+00:00,2025-02-07 17:11:11.541000+00:00
S_GREENHOUSE,APPLICATIONS,BASE TABLE,2022-03-16 16:50:44.753000+00:00,2026-03-17 10:24:15.564000+00:00
S_GREENHOUSE,APPLICATIONS_JOBS,BASE TABLE,2021-10-19 16:00:20.840000+00:00,2026-03-17 10:28:21.006000+00:00
S_GREENHOUSE,APPLICATION_CUSTOM_FIELDS,BASE TABLE,2021-10-19 16:00:19.273000+00:00,2026-03-17 10:33:21.667000+00:00
S_GREENHOUSE,APPLICATION_QUESTION_ANSWERS,BASE TABLE,2021-10-19 16:00:19.878000+00:00,2026-03-17 10:44:39.444000+00:00
S_GREENHOUSE,APPLICATION_STAGES,BASE TABLE,2021-10-19 16:00:20.171000+00:00,2026-03-17 10:49:56.547000+00:00
S_GREENHOUSE,CANDIDATE_SURVEYS,BASE TABLE,2021-10-19 16:00:23.269000+00:00,2025-11-03 18:38:29.137000+00:00
S_GREENHOUSE,CANDIDATE_SURVEY_QUESTIONS,BASE TABLE,2021-10-19 16:00:22.964000+00:00,2025-11-03 18:38:35.295000+00:00
S_GREENHOUSE,EDUCATIONS,BASE TABLE,2021-10-19 16:00:26.893000+00:00,2026-03-17 12:05:14.798000+00:00
S_GREENHOUSE,JOB_POST_LOCATIONS,BASE TABLE,2025-03-03 14:57:58.245000+00:00,2026-03-17 15:25:20.123000+00:00
S_REFERENCE,TECH_JOB_CLASSIFICATION,BASE TABLE,2024-07-10 17:21:08.934000+00:00,2025-11-03 18:39:23.372000+00:00
S_REFERENCE,TRAINING_CATEGORY,BASE TABLE,2024-05-08 18:30:30.698000+00:00,2025-11-03 18:39:23.733000+00:00
S_WORKDAY,ATS_APPLICATIONS,BASE TABLE,2026-01-07 16:30:45.285000+00:00,2026-06-19 10:03:40.539000+00:00
S_WORKDAY,ATS_CANDIDATES,BASE TABLE,2026-01-07 16:30:39.238000+00:00,2026-06-19 10:03:20.258000+00:00
S_WORKDAY,ATS_OFFERS,BASE TABLE,2026-01-07 16:30:53.976000+00:00,2026-06-19 10:03:53.615000+00:00
S_WORKDAY,ATS_REQUISITIONS,BASE TABLE,2026-01-07 16:30:51.522000+00:00,2026-06-19 10:03:48.453000+00:00
S_WORKDAY,FC_MONTHLY_REVIEW_COMPLETION,BASE TABLE,2024-12-19 18:26:45.674000+00:00,2026-06-19 10:04:29.193000+00:00
S_WORKDAY,FC_MONTHLY_REVIEW_COMPLETION_STAGE,BASE TABLE,2024-12-19 18:26:44.984000+00:00,2026-06-19 10:03:07.142000+00:00
S_WORKDAY,JOB_PROFILE_MAP,BASE TABLE,2021-10-27 21:05:40.051000+00:00,2025-11-03 18:39:41.713000+00:00
S_WORKDAY,MANAGER_HIERARCHY,BASE TABLE,2021-11-01 14:20:12.811000+00:00,2026-06-19 10:01:05.916000+00:00
S_WORKDAY,MANAGER_HIERARCHY_TRENDED,BASE TABLE,2022-07-11 18:06:44.198000+00:00,2025-11-03 18:39:38.527000+00:00
S_WORKDAY,MANAGER_HISTORY,BASE TABLE,2022-10-04 17:51:38.841000+00:00,2026-06-19 10:01:51.038000+00:00
S_WORKDAY,V_WORKDAY_TRENDED,VIEW,2025-01-06 19:25:03.585000+00:00,2025-01-06 19:25:05.354000+00:00
S_WORKDAY,WD_DATAMARTFEED,BASE TABLE,2024-10-21 21:58:04.077000+00:00,2026-06-19 10:01:39.658000+00:00
S_WORKDAY,WD_DATAMARTFEED_TRENDED,BASE TABLE,2022-12-26 17:16:48.495000+00:00,2026-06-19 10:02:24.355000+00:00
S_WORKDAY,WD_EVENT_CATEGORIES,BASE TABLE,2022-06-08 14:33:45.743000+00:00,2025-11-03 18:39:42.124000+00:00
S_WORKDAY,WD_FWA,BASE TABLE,2024-10-21 20:45:44.808000+00:00,2026-06-19 10:00:28.771000+00:00
S_WORKDAY,WD_INTEGRATION_HEALTH,BASE TABLE,2022-06-08 19:40:42.971000+00:00,2025-11-03 18:39:41.017000+00:00
S_WORKDAY,WD_LOCATION,BASE TABLE,2022-06-08 19:30:11.822000+00:00,2026-06-19 10:02:31.463000+00:00
S_WORKDAY,WD_OPENINGS,BASE TABLE,2022-10-04 17:51:44.133000+00:00,2026-06-19 10:02:38.714000+00:00
S_WORKDAY,WD_REQUISITIONS,VIEW,2026-01-16 17:09:38.967000+00:00,2026-01-16 17:09:40.326000+00:00
S_WORKDAY,WD_REQUISITIONS_OLD,BASE TABLE,2021-10-27 21:09:04.090000+00:00,2026-01-16 17:09:32.944000+00:00
S_WORKDAY,WD_SCHEDULED_PROCESSES,BASE TABLE,2022-05-12 18:10:20.571000+00:00,2025-11-03 18:39:42.921000+00:00
S_WORKDAY,WD_SECURITY,BASE TABLE,2021-10-27 21:09:07.130000+00:00,2026-06-19 10:02:48.632000+00:00
S_WORKDAY,WORKDAY_CALIBRATION,BASE TABLE,2022-04-25 16:49:24.399000+00:00,2026-06-19 10:02:57.160000+00:00
S_WORKDAY,WORKDAY_PROMOTIONS,BASE TABLE,2022-10-04 17:51:50.071000+00:00,2025-11-03 18:39:36.347000+00:00
S_WORKDAY,WORKDAY_TRENDED,VIEW,2025-08-20 17:45:58.092000+00:00,2025-08-20 17:46:00.598000+00:00
S_WORKDAY,WORKDAY_TRENDED_OLD,BASE TABLE,2022-10-04 17:48:22.944000+00:00,2025-11-03 18:39:35.044000+00:00
S_WORKDAY,WORKDAY_TRENDED_STAGE_OLD,BASE TABLE,2022-10-04 17:48:13.448000+00:00,2025-11-03 18:39:34.676000+00:00
